,0
2c2476ca8f95a71ab94ed77da2cf7582,6.0
45606689cce9bf51097dee2207b4a322,6.0
2791737e4e4bd0fee5cf78ee467b5000,5.0
806d4f50a55fe85bd47112d97ab4cf8c,5.0
bb4d81ce69309991c573a2d1255e86af,5.0
77fbeaeec9fa483803cc84ddc6607dbb,5.0
2d3bda126755a69d7cdfe7d91846aa6b,5.0
5318b0f79fba4b483c83736061d9e4bc,5.0
e39670ed273f2b14e7e36b1af06769fe,5.0
65df85e5d5cd21f468619e7ad6790f5b,5.0
0c2b1c9a89fa3abdc281b905ce38b996,5.0
9971a4dfe69bf9ea23c29459e6c5fb85,4.0
0cd03f6e9ae6d438b7ab82312e134f52,4.0
88548454794ba374fadfca4880aa35a6,4.0
4362e022957acb89a2d18d41203420be,4.0
4b1eff0e13d6cf0546632c92ed49a48a,4.0
bda41ce122d4d7cde9256c879e73066e,4.0
d978073cf26612c7b4e778c828166124,4.0
99176f037a98024552fdb7516b45eb5c,3.0
2d740c98e75d79da23d65861514e540f,3.0
98fcff51577f2a419b9b98dbfb1f6ff6,3.0
664c87b7687f9303e52d3afaea4a47dd,3.0
ad1f92304770622d3f65012278ac65ba,3.0
9e9e0b31d510262c72219f8dc7c814f9,3.0
fbbe926a3162bc29d1932b002647e4f7,3.0
3ebb15a048c78e6debc79f982f954b4c,3.0
1d0831d940ef8b8105f4363fd9fda705,3.0
7c9b397fb4cd01fa0f6a042e0219d811,3.0
a81496190e68616887641833e94d3a0b,2.0
0746afc9590f7840bdd398afbd5b14b4,2.0
ee1f789666f5652cc86b6e119d046bfe,2.0
7e5094773e4fb575ff1cf0ec3f085290,2.0
245aa5349b4e9a12daaf44d7b4032db9,2.0
